Index,Act,ActName,Chapter,ChapterName,Position,POV,Setting,Scenes,Completion,Action,Drama,Theme,Energy,Gravity,Prominence,CutRisk,Summary,Blurb,Excerpt
1,1,Act One: Spring,1,Strangers To Enemies 1,571.25,Cody,Colorado | Evergreen Estates | Cody&apos;s House | 2026-04-24,4,92,6.0,6.0,6.0,18.0,26.32639776261543,6.0,63.76229367098293,"Cody celebrates his first home, drunkenly stumbles through the adjoining door into another world, is healed by strangers, and fixates on the &quot;cosplayer&quot; girl on the other side.",A housewarming goes sideways when Cody opens the wrong door&mdash;and stumbles into a world that shouldn&apos;t exist.,"In the long, dragging years after college, all I could ever ask is to waste my life as efficiently as possible."
2,1,Act One: Spring,2,The Knight Before,1719.25,Katiya,Valenseia | Gaffesend | Gaffe&apos;s End Tavern | 2026-04-23,3,95,1.0,5.0,6.0,12.0,6.713600308604764,-1.666666666666666,79.74360053299672,"Katiya&apos;s intro: she struggles to relax, Aldrin frames trainee expectations, and she reconnects with Jullian as they &quot;christen&quot; her new place.","Katiya tries to unwind, but duty&mdash;and an old flame&mdash;won&apos;t let her rest.","With every intention to relax, I try to let the peace of this place flood my tense muscles. But I wasn't made for this, and I hate drinking. The only thought on my inebriated mind…"
3,1,Act One: Spring,3,The Day After,3079.25,Cody,Colorado | Shaleborough | Navidson-Monroe Aerospace | 2026-04-24,3,95,1.0,5.0,6.0,12.0,2.1052631578947367,-1.5,81.57075488739702,"Cody&apos;s bleak office day: roasted for late redlines, awkward beat with Kei, then family unpacking with Miguel queued up for drinks.",Another soul-numbing office day pushes Cody toward a choice he&apos;s not ready to make.,I realize I'm done working on the redline when my hands stop moving. Copying changes from a red-inked engineering drawing to the computer is easy enough to get lost in thought. The…
4,1,Act One: Spring,4,Secondhand Cottage,4323.25,Katiya,Valenseia | Gaffesend | Katiya&apos;s House | 2026-04-24,3,95,2.0,4.0,5.0,11.0,1.0169491525423748,-3.5,92.0,"Katiya&apos;s trauma baseline: nightmares of Hillfar; she self-stabilizes, starts her day, meets Derry & Carmen (Rayna foreshadow), and heads to base with Bertram.","Nightmares, neighbors, and a base run: Katiya fights panic with routine until routine fights back.","The next lucid moment, I find myself pinned upside-down beneath a thick wooden rack. The heat climbs as I drag my heels across the floor, my clothes so black and charred that I pra…"
5,1,Act One: Spring,5,Firsthand Home,5812.25,Cody,Colorado | Evergreen Estates | Cody&apos;s House | 2026-04-24,2,95,1.0,6.0,6.0,13.0,13.967741157750075,-3.5,78.40633135478498,"Cody + Miguel bro out, drink hard; Miguel crashes, Cody stays up.",Drinks with a best friend turn into confessions&mdash;and an idea Cody should ignore.,"""Since you started on your first day, you haven't been drug tested. What's gonna change their mind on Monday, bro? My work never runs drug tests,"" he says. Gunfire cracks over the…"
6,1,Act One: Spring,6,Insurgency,6815.25,Katiya,Valenseia | Gaffesend | Southern Fields | 2026-04-24,3,90,7.0,7.0,7.0,21.0,44.021023699881866,3.5,50.568661578970854,Katiya&apos;s first day ends in panic when a distant light (Firebrand tie-in) appears; town responds; on returning home she finds an intruder&mdash;Cody&mdash;and ambushes him.,A distant light rattles Gaffesend; Katiya&apos;s first day ends with an intruder at home.,"""So we're already finished. Is that as bad as it gets? Or is this just because it's the first day?"" Pax asks. ""Maybe Aldrin wasn't lying. I thought we'd be at the enemy's doorstep…"
7,1,Act One: Spring,7,Exfiltration,8635.25,Katiya,Valenseia | Gaffesend | Katiya&apos;s House | 2026-04-25,2,92,7.0,8.0,7.0,22.0,51.81570508956771,4.75,45.97751552979831,"Prologue re-seen through Katiya: she crosses into the modern world and recoils, landing back through the door&mdash;mirror of Cody&apos;s intro.","Through Katiya&apos;s eyes: a door, a modern nightmare, and a blur she can&apos;t unsee. and violence.","If he wasn't handsome, I would have slit his throat. My mind can't catch up fast enough for all the semantics, but I know exactly what he means."
8,1,Act One: Spring,8,Strangers To Enemies 2,9932.25,Katiya,Valenseia | Gaffesend | Katiya&apos;s House | 2026-04-25,2,92,8.0,8.0,8.0,24.0,59.342768281216095,4.0,35.461142032570606,Third clash: Katiya (assuming Auvryan assassin) and Cody fight to another misunderstanding; she drives him back through the door.,Misread motives turn their encounter into a full-on clash.,"I wager my strength and power over his defenses. The inebriated man called Cody holds the odd, metallic broomstick with his hands together in the center — a technique I've never se…"
9,1,Act One: Spring,9,Surprise Approach,11094.25,Cody,Colorado | Evergreen Estates | Cody&apos;s House | 2026-04-26,2,90,1.0,4.0,6.0,11.0,26.88960146587266,-10.75,79.92719962086677,Cody tries to rationalize it away (no wound); barricades the door; nearly late to work; meets foil Reed.,Cody barricades more than a door as reality refuses to make sense.,"Late Sunday morning, around 11:00, I awoke with my neck twisted against the closet door, my face saturated with drool, shirt missing, and a sticky note taped to my forehead with Mi…"
10,1,Act One: Spring,10,Strategic Retreat,12289.25,Katiya,Valenseia | Gaffesend | Katiya&apos;s House | 2026-04-25,3,92,8.0,9.0,9.0,26.0,61.64766014899825,8.75,21.81255857544517,"Katiya cleans to stave off panic, studies Cody&apos;s device; time skip: a month later she hesitates during a royal escort, barely averts disaster, is berated, and runs to find Bertram.","A month later, a public moment goes wrong&mdash;and Katiya can&apos;t shake the blame.",I take deep breaths as I try not to let him break me. Cody's gone now. And I will never have to deal with him again.
11,1,Act One: Spring,11,Ennui and Excoriation,12860.5,Cody,Colorado | Shaleborough | Navidson-Monroe Aerospace | 2026-05-22,3,75,2.0,6.0,7.0,15.0,34.96250934252719,-2.75,60.60363789377043,"Another month later: Cody is bored while Reed earns praise; Nav spins up a new project; Cody ghosts social invites, but hears pleading through the door at home.","Praise falls on the wrong desk. At home, Cody hears a voice on the other side.","I can only work as fast as the computer will take me, choosing to try and save the file every chance I get. I've spent so many hours imagining how I would boost the performance if…"
12,1,Act One: Spring,12,Anxiety and Avoidance,13800.5,Katiya,Valenseia | Gaffesend | Guards&apos; Quarter | 2026-05-22,2,80,1.0,9.0,9.0,19.0,42.9071533621043,1.25,37.253842867981305,"FOUR WEEK TIME SKIPKatiya, Ryder, and Paxton rescue near-dead Bertram; she&apos;s blamed and shut out&mdash;her only remaining lifeline is Cody.","With help scarce, Katiya runs toward the only lifeline left.","Calling his name will do nothing. I decide ahead of time to break in instead of patiently knocking, hoping the others piece together my purpose for panic instead of thinking I'm ju…"
13,2,Act Two: Summer,13,The Sleeping Knight,15137.5,"Cody, Katiya",Colorado | Evergreen Estates | Cody&apos;s House | 2026-05-23,2,70,1.0,6.0,8.0,15.0,25.68170311256841,-0.25,54.16319730016343,Katiya crosses mid-panic; Cody calms her and lets her sleep; awkward breakfast; they agree to &quot;no interfering&quot; (both intend to break it).,A midnight crossing. A stranger&apos;s kindness. Rules they&apos;ll both pretend to follow.,"Words are a currency she can't afford when her panic sets her over the edge. She speaks in strings of syllables I can't comprehend, but it's not her desperate cries that confuse me…"
14,2,Act Two: Summer,14,Luddite By Chance,16333.5,"Cody, Katiya",Colorado | Evergreen Estates | Cody&apos;s House | 2026-05-23,3,70,3.0,6.0,6.0,15.0,18.70964631000313,0.75,72.1949560830268,"Cody gives her a gentle orientation day: first car ride (terrifying), Costco errand gauntlet&mdash;Katiya is overwhelmed by the future.",&quot;Welcome to the future.&quot; A car ride and a big-box errand become an emotional obstacle course.,I never knew it was possible to misunderstand a taco. It seems pretty obvious that it's tall and narrow. That you have to rotate the thing sideways to put it in your mouth to take…
15,2,Act Two: Summer,15,Technophile By Choice,17580.5,"Cody, Katiya",Valenseia | Gaffesend | Katiya&apos;s House | 2026-05-24,3,70,1.0,5.0,6.0,12.0,5.824915013139813,-1.5,79.96417361071265,Cody runs Katiya&apos;s route in Gaffesend; she tours him as &quot;royal inventor&quot;; awkward Jullian moment; tavern hang where Cody fits in.,Cody tours Katiya&apos;s world&mdash;and fits in a little too well.,"""Have you tried an Eglich?"" She asks."
16,2,Act Two: Summer,16,Back To Business,18151.75,Cody,Colorado | Shaleborough | Navidson-Monroe Aerospace | 2026-05-25,3,70,1.0,4.0,6.0,11.0,4.058634906092533,-3.75,82.93114184130386,Cody&apos;s spark flickers: nostalgia and lunch with Alan (Jackson talk); he returns hoping for an open door.,A lunch with Dad. A memory of a brother. A door that might be open tonight.,"""I think that will work just fine,"" Reed says. ""What do you think?"""
